,restaurant,url,distance,star,num_reviews,city,price_range,category_1,category_2
50,PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,1.8,4.0,132.0,Branpton,$$,Pizza,Chicken Wings
51,Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,2.0,4.0,1200.0,Branpton,$,Burgers,Family Meals
52,BarBurrito,https://www.doordash.com/store/566973/?pickup=false,1.9,4.3,530.0,Branpton,$$,Mexican,Burritos
53,Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,0.06,4.7,30.0,Branpton,$$,Thai,Soup
54,KFC,https://www.doordash.com/store/973575/?pickup=false,0.8,4.3,242.0,Branpton,$,Chicken,Sandwiches
55,Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,0.7,3.8,880.0,Branpton,$$,Fast Food,Chicken
56,Trish Juice,https://www.doordash.com/store/205969/?pickup=false,0.01,4.0,131.0,Branpton,$$,Juice Bar,Smoothies
57,Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,0.7,4.2,143.0,Branpton,$$,Italian,Pizza
58,Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,1.2,4.1,69.0,Branpton,$$,Indian,Vegetarian
59,SeaSide Eats (Resolution Dr),https://www.doordash.com/store/995784/?pickup=false,2.0,4.4,53.0,Branpton,$$,Poutineries,Tacos
60,Chai Naka,https://www.doordash.com/store/1565102/?pickup=false,1.1,4.5,21.0,Branpton,$$,Fast Food,Snacks
61,Vesuvio Ristorante,https://www.doordash.com/store/205973/?pickup=false,0.09,4.3,52.0,Branpton,$$$$,Italian,Pizza
62,China Palace (CP),https://www.doordash.com/store/205301/?pickup=false,2.1,4.0,364.0,Branpton,$$,Chinese,Vegetarian
63,Grillz Spot,https://www.doordash.com/store/23121460/?pickup=false,1.1,4.0,,Branpton,$$,Smoothies,Rice
64,Epic Burger,https://www.doordash.com/store/2352831/?pickup=false,0.7,4.2,,Branpton,$$,Fast Food,Fries
65,Dosa Dosa Inc,https://www.doordash.com/store/2493044/?pickup=false,1.2,4.1,,Branpton,$,Indian,Street Food
66,Family Pizza,https://www.doordash.com/store/205347/?pickup=false,2.5,3.8,25.0,Branpton,$$,Fries,Italian
67,The Wing Spot,https://www.doordash.com/store/1910756/?pickup=false,1.6,4.7,32.0,Branpton,$$,Fries,Wraps
68,Royal Kabob,https://www.doordash.com/store/1866656/?pickup=false,1.2,4.4,65.0,Branpton,$,Afghan,Kebabs
69,Hakka Spoon Inc,https://www.doordash.com/store/2828198/?pickup=false,0.8,4.2,67.0,Branpton,$$,Chinese,Seafood
70,Gentlemen Chai and Snacks,https://www.doordash.com/store/1423746/?pickup=false,0.9,4.2,97.0,Branpton,$$,Street Food,Milk Tea
71,Wild Wing,https://www.doordash.com/store/205219/?pickup=false,0.9,3.8,149.0,Branpton,$$,Fast Food,Chicken Wings
72,Heritage India,https://www.doordash.com/store/23026115/?pickup=false,1.2,4.2,,Branpton,$$,Salads,Curry
73,Street Bitez,https://www.doordash.com/store/2466126/?pickup=false,1.6,4.2,88.0,Branpton,$$,Coffee,Dessert
74,Pita Pit,https://www.doordash.com/store/731293/?pickup=false,0.04,4.4,208.0,Branpton,$,Frozen Yogurt,Build Your Own
75,Blackstone Steakhouse and Grill,https://www.doordash.com/store/1390658/?pickup=false,0.13,4.4,26.0,Branpton,$$,Italian,Chicken
76,Kin-Kin Bakery & Bubble Tea,https://www.doordash.com/store/1697153/?pickup=false,1.7,4.6,18.0,Branpton,$$,Bakery,Bubble Tea
77,9 Queen Chinese Cuisine 皇后玖號,https://www.doordash.com/store/543203/?pickup=false,0.04,4.2,54.0,Branpton,$$,Chinese,Chicken
78,Booster Juice,https://www.doordash.com/store/823716/?pickup=false,1.9,4.6,260.0,Branpton,$$,Juice Bars & Smoothies,Healthy
79,Circle K,https://www.doordash.com/convenience/store/1288755/?pickup=false,0.4,4.4,29.0,Branpton,$$,Grocery,chips
80,Fusion Pub & Pool,https://www.doordash.com/store/1447709/?pickup=false,1.7,4.3,13.0,Branpton,$$,Alcohol,Beer
81,Tribal Wings,https://www.doordash.com/store/2355773/?pickup=false,0.7,4.2,,Branpton,$$,Chicken Wings,
82,A&W Canada,https://www.doordash.com/store/487285/?pickup=false,1.4,4.0,920.0,Branpton,$$,Canadian,Breakfast
83,241 Pizza,https://www.doordash.com/store/987360/?pickup=false,0.9,4.5,96.0,Branpton,$$,Pizza,Chicken
84,Little Caesars Pizza,https://www.doordash.com/store/1148958/?pickup=false,1.6,4.4,112.0,Branpton,$$,Italian,Pizza
85,Swiss Chalet,https://www.doordash.com/store/205275/?pickup=false,2.2,4.5,481.0,Branpton,$$,Chicken,Barbecue
86,Smoke's Poutinerie,https://www.doordash.com/store/586809/?pickup=false,2.1,4.0,295.0,Branpton,$$,Pork,Boneless Wings
87,Second Cup,https://www.doordash.com/store/961068/?pickup=false,1.9,4.5,89.0,Branpton,$$,Bakery,Espresso
88,Freshii,https://www.doordash.com/store/511591/?pickup=false,2.0,4.4,399.0,Branpton,$$,Tacos,Burritos
89,The Works Craft Burgers,https://www.doordash.com/store/1638849/?pickup=false,0.06,4.4,69.0,Branpton,$$,Poutineries,Burgers
90,Grabb-A-Pizza,https://www.doordash.com/store/443213/?pickup=false,1.2,4.6,10.0,Branpton,$$,Pizza,Chicken Wings
91,RAPiZZA,https://www.doordash.com/store/2546943/?pickup=false,0.06,5.0,,Branpton,$$,Pizza,Dessert
92,Demetres,https://www.doordash.com/store/205282/?pickup=false,2.6,4.4,1000.0,Branpton,$$,Belgian,Waffles
93,Queen Eatery,https://www.doordash.com/store/22931357/?pickup=false,0.8,4.5,56.0,Branpton,$$,Breakfast,Omelets
94,Pepper Shack,https://www.doordash.com/store/774234/?pickup=false,0.9,4.2,96.0,Branpton,$$,Seafood,Soup
95,Eggsmart,https://www.doordash.com/store/1016015/?pickup=false,0.8,4.4,296.0,Branpton,$$,American,Sandwiches
96,Yarl Dosa Corner,https://www.doordash.com/store/60307/?pickup=false,1.0,3.4,96.0,Branpton,$$,Indian,Dessert
97,Genius Restaurant and Patty,https://www.doordash.com/store/1321977/?pickup=false,1.4,5.0,15.0,Branpton,$$,Soup,Seafood
98,Sunset Grill,https://www.doordash.com/store/23195858/?pickup=false,0.08,5.0,,Branpton,$$,Breakfast,Omelets
99,Deccan Express,https://www.doordash.com/store/1143539/?pickup=false,1.7,4.4,77.0,Branpton,$$,Indian,Curry
100,Biryani King,https://www.doordash.com/store/205264/?pickup=false,1.8,4.2,14.0,Branpton,$$,Pakistani,Dessert
101,Gem's House Of Jerk,https://www.doordash.com/store/205204/?pickup=false,1.7,3.9,412.0,Branpton,$$,Caribbean,Snacks
102,Pita Land,https://www.doordash.com/store/2412971/?pickup=false,2.0,3.8,44.0,Branpton,$$,Wraps,Poutineries
103,Shop-Mart,https://www.doordash.com/store/22981415/?pickup=false,0.17,,,Branpton,$$,Snacks,Candy
104,YUM YUM RESTAURANT - JAMAICAN CUISINE,https://www.doordash.com/store/1099372/?pickup=false,0.11,4.3,27.0,Branpton,$$,Jamaican,Breakfast
105,Sarbat Foods,https://www.doordash.com/store/1618649/?pickup=false,0.2,3.5,,Branpton,$$,Indian,Breakfast
106,3MS African Market,https://www.doordash.com/convenience/store/1691950/?pickup=false,0.4,5.0,,Branpton,$$,Snacks,Grocery
107,Shy Lounge INC,https://www.doordash.com/store/296119/?pickup=false,0.4,3.1,31.0,Branpton,$$,Chinese,Fried Rice
108,bonfirehouse,https://www.doordash.com/store/22980649/?pickup=false,0.17,,,Branpton,$$,Breakfast,Takeout
109,RAPiZZA,https://www.doordash.com/store/1725420/?pickup=false,0.06,,,Branpton,$,pizza,
110,Dolcezza Custom Cakes,https://www.doordash.com/store/1882403/?pickup=false,0.09,,,Branpton,$$,Bakery,Cupcakes
111,Sharm's Mediterranean Restaurant,https://www.doordash.com/store/23462259/?pickup=false,0.2,,,Branpton,$$,Mediterranean,Shawarma
112,Warraich Meats,https://www.doordash.com/store/366045/?pickup=false,1.9,3.9,417.0,Branpton,$$,Indian,Chicken
113,Culinarystars by chef harminder,https://www.doordash.com/store/1221412/?pickup=false,1.2,,,Branpton,$$,Indian,Chicken
114,Mumbaiya Khau Galli,https://www.doordash.com/store/1617461/?pickup=false,1.6,5.0,,Branpton,$$,Curry,Indian
115,Spice Dera,https://www.doordash.com/store/2561499/?pickup=false,1.0,2.8,,Branpton,$$,Barbecue,Curry
116,Burrito Bandidos,https://www.doordash.com/store/1609909/?pickup=false,1.9,3.1,32.0,Branpton,$$,Mexican,Burritos
117,Fyah Side Jamaican Grill,https://www.doordash.com/store/1663400/?pickup=false,2.6,4.3,,Branpton,$$,Jamaican,Seafood
118,Cactus Club Cafe,https://www.doordash.com/store/99807/?pickup=false,0.3,4.6,13200.0,Calgary,$$,Vegetarian Friendly,Vegetarian
119,Seed N Salt,https://www.doordash.com/store/259849/?pickup=false,0.7,4.7,7700.0,Calgary,$$,Healthy,Breakfast
120,Hankki Korean Street food,https://www.doordash.com/store/1386910/?pickup=false,1.1,4.8,4700.0,Calgary,$$,Korean,Street Food
121,JOEY Restaurants,https://www.doordash.com/store/316702/?pickup=false,0.6,4.5,8900.0,Calgary,$$,Alcohol,Steak
122,Popeyes Louisiana Kitchen,https://www.doordash.com/store/838937/?pickup=false,1.3,4.3,9500.0,Calgary,$,American,Chicken Tenders
123,Clive Burger,https://www.doordash.com/store/316790/?pickup=false,0.8,4.6,8000.0,Calgary,$$,Burgers,
124,Paros Souvla,https://www.doordash.com/store/426380/?pickup=false,0.9,4.8,3600.0,Calgary,$$,Greek,Wraps
125,McDonald's,https://www.doordash.com/store/1058061/?pickup=false,0.2,4.4,2500.0,Calgary,$,Bakery,Chicken
126,Native Tongues Taqueria,https://www.doordash.com/store/263167/?pickup=false,0.3,4.7,9300.0,Calgary,$$,Tacos,Beer
127,Dairy Queen,https://www.doordash.com/store/99919/?pickup=false,0.9,4.6,1000.0,Calgary,$,Ice Cream,Desserts
128,Pho HouZ Vietnamese Kitchen,https://www.doordash.com/store/448841/?pickup=false,1.3,4.6,2900.0,Calgary,$$,Vietnamese,Gluten-Free
129,Fork and Salad,https://www.doordash.com/store/100301/?pickup=false,0.9,4.6,2700.0,Calgary,$,Salads,Smoothies
130,Kim Anh Vietnamese Submarines,https://www.doordash.com/store/99632/?pickup=false,0.7,4.6,2800.0,Calgary,$,Vietnamese,Appetizers
131,Earls Kitchen + Bar,https://www.doordash.com/store/2378799/?pickup=false,0.3,4.5,1000.0,Calgary,$$,Canadian,Alcohol
132,Cluck N Cleaver,https://www.doordash.com/store/255587/?pickup=false,1.4,4.5,3800.0,Calgary,$$,Chicken,Fried Chicken
133,Hotshot Liquor Store,https://www.doordash.com/store/1747661/?pickup=false,1.5,4.8,1200.0,Calgary,$$,Alcohol,Beer
134,Noodlebox,https://www.doordash.com/store/574712/?pickup=false,0.9,4.5,3900.0,Calgary,$$,Asian Fusion,Noodles
135,Redheads Japa Cafe,https://www.doordash.com/store/100933/?pickup=false,0.6,4.8,2300.0,Calgary,$$,Japanese,Burgers
136,Gong Cha 贡茶,https://www.doordash.com/store/714913/?pickup=false,0.4,4.7,4600.0,Calgary,$$,Chinese,Milk Tea
137,Wow Chicken,https://www.doordash.com/store/387110/?pickup=false,0.5,4.7,2100.0,Calgary,$$,Chicken,Asian Fusion
138,Wise & Wright,https://www.doordash.com/store/174777/?pickup=false,0.3,4.7,2300.0,Calgary,$$,Coffee,Latte
139,Chicken on the Way,https://www.doordash.com/store/99692/?pickup=false,1.5,4.5,3600.0,Calgary,$,Chicken Wings,Chicken
140,King's Chinese Food,https://www.doordash.com/store/99674/?pickup=false,1.1,4.4,2800.0,Calgary,$$,Chinese,Chicken
141,D Spot Dessert Cafe,https://www.doordash.com/store/808214/?pickup=false,1.0,4.4,2000.0,Calgary,$$,Ice Cream,Milk Shakes
142,Tim Hortons,https://www.doordash.com/store/1159832/?pickup=false,0.4,4.5,920.0,Calgary,$$,Canadian,Sandwiches
143,Shawarma King,https://www.doordash.com/store/100108/?pickup=false,1.4,4.3,3800.0,Calgary,$,Shawarma,Wraps
144,Don't Yell at Me,https://www.doordash.com/store/900725/?pickup=false,0.7,4.7,1500.0,Calgary,$$,Cakes,Creperies
145,CoCo Fresh Tea & Juice,https://www.doordash.com/store/1246984/?pickup=false,0.4,4.8,1400.0,Calgary,$$,Milk Tea,Bubble Tea
146,Browns Socialhouse,https://www.doordash.com/store/99794/?pickup=false,0.9,4.6,1400.0,Calgary,$,Chinese,American
147,Tandoori Grill,https://www.doordash.com/store/100219/?pickup=false,0.5,4.5,4100.0,Calgary,$$,Indian,Curry
148,Holy Grill,https://www.doordash.com/store/316669/?pickup=false,0.8,4.7,1300.0,Calgary,$$,Burgers,Sandwiches
149,Our Daily Brett,https://www.doordash.com/store/287671/?pickup=false,1.8,4.7,1400.0,Calgary,$$,Alcohol,Coffee & Tea
150,Tuk Tuk Thai,https://www.doordash.com/store/1561921/?pickup=false,0.7,4.6,640.0,Calgary,$$,Thai,Soup
151,Comery Block Barbecue (638 17th Avenue SW),https://www.doordash.com/store/1132834/?pickup=false,0.7,4.6,640.0,Calgary,$$,American,Sandwiches
152,Meltwich Food Co.,https://www.doordash.com/store/942165/?pickup=false,1.1,4.5,1200.0,Calgary,$$,Comfort Food,Grilled Cheese
153,Bodega,https://www.doordash.com/store/98304/?pickup=false,1.2,4.5,1700.0,Calgary,$$,Mexican,Breakfast
154,Fusion Sushi 17ave,https://www.doordash.com/store/1344103/?pickup=false,1.2,4.5,1200.0,Calgary,$$,Japanese,Thai
155,4th Street Pizza,https://www.doordash.com/store/363619/?pickup=false,0.8,4.6,1500.0,Calgary,$,Pizza,Salads
156,Golden Bell,https://www.doordash.com/store/432110/?pickup=false,1.1,4.7,1100.0,Calgary,$$,Vietnamese,Pho
157,Pho Kim Restaurant,https://www.doordash.com/store/334511/?pickup=false,1.5,4.6,1800.0,Calgary,$$,Vietnamese,Pho
158,V Burger,https://www.doordash.com/store/1017537/?pickup=false,0.9,4.6,1400.0,Calgary,$$,Burgers,Ice Cream
159,South Block Barbecue & Brewing Co.,https://www.doordash.com/store/2390851/?pickup=false,1.0,4.6,305.0,Calgary,$$,Barbecue,Sandwiches
160,The Coup,https://www.doordash.com/store/101990/?pickup=false,1.0,4.5,3400.0,Calgary,$$,Alcohol,Beer
161,Blowers & Grafton Halifax Street Food,https://www.doordash.com/store/1389930/?pickup=false,0.8,4.6,1300.0,Calgary,$$,Pizza,Poutineries
162,Pho Hoai Vietnamese Noodle House,https://www.doordash.com/store/1710144/?pickup=false,0.4,4.7,364.0,Calgary,$$,Vietnamese,Pho
163,Calgary Court Restaurant,https://www.doordash.com/store/316780/?pickup=false,0.5,4.6,2800.0,Calgary,$$,Chinese,Noodles
164,Milestones Grill + Bar,https://www.doordash.com/store/249814/?pickup=false,0.08,4.5,540.0,Calgary,$$,Bar and Grill,Alcohol
165,Papa Johns,https://www.doordash.com/store/99954/?pickup=false,1.2,4.4,1500.0,Calgary,$$,Italian,Pizza
166,Singapore Sam's,https://www.doordash.com/store/99559/?pickup=false,0.5,4.4,1500.0,Calgary,$$,Chinese,Chicken
167,Carl's Jr,https://www.doordash.com/store/1491637/?pickup=false,1.9,4.5,1000.0,Calgary,$$,Burgers,Chicken
168,JusFruit,https://www.doordash.com/store/426436/?pickup=false,1.2,4.5,1000.0,Calgary,$$,Fruit Tea,Juice Bar
169,Po-ke,https://www.doordash.com/store/1241822/?pickup=false,1.1,4.6,1400.0,Calgary,$,Bowls,Japanese
170,K Street Food,https://www.doordash.com/store/989038/?pickup=false,1.3,4.5,1200.0,Calgary,$$,Street Food,Ramen
171,PARLOUR ICE CREAM,https://www.doordash.com/store/2489848/?pickup=false,0.6,5.0,122.0,Calgary,$$,Ice Cream,Vegan
172,King of Shawarma,https://www.doordash.com/store/99877/?pickup=false,1.3,4.5,1200.0,Calgary,$$,Wraps,Kebabs
173,Nam Vietnamese Kitchen,https://www.doordash.com/store/100241/?pickup=false,0.8,4.6,660.0,Calgary,$$,Vietnamese,Pho
174,Tea Funny,https://www.doordash.com/store/99853/?pickup=false,1.4,4.4,174.0,Calgary,$$,Dim Sum,Dumplings
175,The Halal Guys,https://www.doordash.com/store/1761360/?pickup=false,1.0,4.4,406.0,Calgary,$$,Halal,Sandwiches
176,Ten Degrees Chocolate,https://www.doordash.com/store/1476087/?pickup=false,0.9,4.7,396.0,Calgary,$$,Breakfast,Chocolates
177,Cinnaholic,https://www.doordash.com/store/2667023/?pickup=false,0.6,4.7,194.0,Calgary,$$,Bakery,Pastries
178,Yemeni Village Restaurant,https://www.doordash.com/store/1010906/?pickup=false,0.9,4.6,730.0,Calgary,$$,Coffee,Chicken
179,Shawarma and Falafel City,https://www.doordash.com/store/99204/?pickup=false,1.3,4.4,750.0,Calgary,$,Middle Eastern,Vegetarian
180,Damascus,https://www.doordash.com/store/99927/?pickup=false,0.8,4.6,820.0,Calgary,$$,Wraps,Salads
181,House of Kabob,https://www.doordash.com/store/100240/?pickup=false,1.3,4.5,1900.0,Calgary,$$,Greek,Kebabs
182,7-Eleven,https://www.doordash.com/store/992258/?pickup=false,0.3,4.4,316.0,Calgary,$$,Burgers,Wings
183,Quesada Burritos & Tacos,https://www.doordash.com/store/99756/?pickup=false,0.4,4.3,191.0,Calgary,$$,Mexican,Tacos
184,DashMart,https://www.doordash.com/convenience/store/2456357/?pickup=false,3.3,4.7,27.0,Calgary,$,Grocery,Snacks
185,COBS Bread,https://www.doordash.com/store/96482/?pickup=false,1.3,4.6,1000.0,Calgary,$$,Bakery,Pizza
186,PurrTea,https://www.doordash.com/store/1584744/?pickup=false,0.9,4.9,120.0,Calgary,$$,Milk Tea,Healthy Smoothies
187,Blaze Pizza,https://www.doordash.com/store/23046692/?pickup=false,0.8,4.4,81.0,Calgary,$$,Pizza,
188,Jelly Modern Doughnuts,https://www.doordash.com/store/100117/?pickup=false,0.9,4.7,500.0,Calgary,$$,Dessert,Donuts
189,Gogi Korean Kitchen,https://www.doordash.com/store/1656408/?pickup=false,0.6,4.7,530.0,Calgary,$$,Korean,Barbecue
190,Shawarma Ave,https://www.doordash.com/store/185630/?pickup=false,0.8,4.6,1400.0,Calgary,$$,Dessert,Wraps
191,Big Cheese Poutinerie,https://www.doordash.com/store/93143/?pickup=false,0.8,4.6,880.0,Calgary,$$,Poutineries,Chicken
192,Ola Poke,https://www.doordash.com/store/194640/?pickup=false,0.6,4.8,600.0,Calgary,$$,Poke,Burritos
193,Rosso Coffee Roasters,https://www.doordash.com/store/567179/?pickup=false,1.2,4.7,436.0,Calgary,$$,Coffee Shop,Breakfast
194,Regrub Burger Bar,https://www.doordash.com/store/728822/?pickup=false,0.6,4.5,900.0,Calgary,$,American,Burgers
195,Sso yummy,https://www.doordash.com/store/951754/?pickup=false,0.5,4.8,470.0,Calgary,$$,Korean,Seafood
196,YiFang Taiwan Fruit Tea 一芳,https://www.doordash.com/store/751132/?pickup=false,0.6,4.8,830.0,Calgary,$$,Taiwanese,Tea Bar
197,Little Caesars Pizza,https://www.doordash.com/store/23117226/?pickup=false,1.7,4.6,89.0,Calgary,$$,Italian,Pizza
198,Saucy Burger,https://www.doordash.com/store/1876390/?pickup=false,1.0,4.3,177.0,Calgary,$$,American,Breakfast
199,Denny's,https://www.doordash.com/store/1868796/?pickup=false,1.2,4.4,426.0,Calgary,$$,American,Breakfast
200,Freshii,https://www.doordash.com/store/90853/?pickup=false,1.3,4.4,1100.0,Calgary,$$,Tacos,Burritos
201,K Town Fried Chicken,https://www.doordash.com/store/1486054/?pickup=false,1.1,4.7,850.0,Calgary,$$,Comfort Food,Fried Chicken
202,Ollia Macarons & Tea,https://www.doordash.com/store/384376/?pickup=false,0.9,4.8,670.0,Calgary,$$,Bakery,Sweets
203,Saltlik,https://www.doordash.com/store/100305/?pickup=false,0.06,4.6,940.0,Calgary,$$,Alcohol,Beer
204,Ramen Taka Calgary,https://www.doordash.com/store/23287753/?pickup=false,0.9,4.4,24.0,Calgary,$$,Japanese,Ramen
205,Mirchi,https://www.doordash.com/store/99548/?pickup=false,0.8,4.4,580.0,Calgary,$$,Curry,Tandoori
206,Pie Junkie,https://www.doordash.com/store/316682/?pickup=false,1.2,4.7,560.0,Calgary,$$,Pie,Soup
207,Tsujiri Calgary,https://www.doordash.com/store/1010416/?pickup=false,1.5,4.7,242.0,Calgary,$$,Pastries,Japanese
208,Greta Bar,https://www.doordash.com/store/972082/?pickup=false,0.17,4.4,360.0,Calgary,$$,Alcohol,Chicken
209,King Of Donair,https://www.doordash.com/store/1299520/?pickup=false,0.6,4.2,428.0,Calgary,$$,Canadian,Pizza
210,Freshslice Pizza,https://www.doordash.com/store/1513667/?pickup=false,0.3,4.4,257.0,Calgary,$$,Dessert,Italian
211,Calan Beef Noodle,https://www.doordash.com/store/1159282/?pickup=false,1.0,4.6,384.0,Calgary,$$,Chinese,Noodles
212,Im Chicken,https://www.doordash.com/store/2784126/?pickup=false,1.4,4.7,207.0,Calgary,$$,Chicken Wings,Chicken
213,Wolf Down,https://www.doordash.com/store/2437382/?pickup=false,0.8,4.5,145.0,Calgary,$,German,Sandwiches
